TotalFinishedArea,LivingUnits,TotalAppraisedValue,SaleYear,SaleMonth,PriceRatio,AssrLandUse_APT FOUR,AssrLandUse_CONDOMINIMUM,AssrLandUse_MULTI DWLG,AssrLandUse_ONE FAMILY,AssrLandUse_THREE FAMILY,AssrLandUse_TWO FAMILY
1602.0,1.0,204300,2023,9,1.49290259422418,False,False,False,True,False,False
2997.0,1.0,148700,2023,11,0.7952252858103565,False,False,False,True,False,False
1136.80001,1.0,179700,2021,11,1.14079020589872,False,False,False,True,False,False
1472.0,1.0,159000,2022,1,1.169811320754717,False,False,False,True,False,False
1802.45,1.0,203500,2022,3,0.9828009828009828,False,False,False,True,False,False
2905.5,2.0,294800,2021,9,1.0685210312075983,False,False,False,False,False,True
2905.5,2.0,294800,2020,12,0.6275440976933514,False,False,False,False,False,True
2965.0,2.0,294200,2022,6,1.087695445275323,False,False,False,False,False,True
900.0,1.0,175300,2023,9,1.1409013120365088,False,False,False,True,False,False
1008.00001,1.0,174000,2021,1,1.0229885057471264,False,False,False,True,False,False
900.0,1.0,190100,2021,6,1.157285639137296,False,False,False,True,False,False
900.0,1.0,157900,2022,7,1.2349588347055098,False,False,False,True,False,False
900.0,1.0,184300,2021,9,1.1394465545306565,False,False,False,True,False,False
1190.00001,1.0,168500,2023,5,1.3649851632047478,False,False,False,True,False,False
850.0,1.0,68100,2021,10,0.9544787077826724,False,False,False,True,False,False
850.0,1.0,55200,2023,11,0.7246376811594203,False,False,False,True,False,False
850.0,1.0,68300,2022,9,1.083455344070278,False,False,False,True,False,False
850.0,1.0,60300,2024,9,1.144278606965174,False,False,False,True,False,False
850.0,1.0,51600,2021,9,1.065891472868217,False,False,False,True,False,False
850.0,1.0,61700,2022,9,1.19935170178282,False,False,False,True,False,False
850.0,1.0,50300,2021,4,0.5666003976143141,False,False,False,True,False,False
850.0,1.0,56100,2022,9,1.319073083778966,False,False,False,True,False,False
850.0,1.0,66700,2021,11,0.974512743628186,False,False,False,True,False,False
850.0,1.0,65900,2022,9,1.1229135053110777,False,False,False,True,False,False
