TotalFinishedArea,LivingUnits,SaleDate,SalePrice,TotalAppraisedValue,AssrLandUse,PriceRatio
1362.0,1.0,2021/11/05 00:00:00+00,220000.0,181600,ONE FAMILY,1.2114537444933922
3006.0,3.0,2023/05/08 00:00:00+00,340000.0,255900,THREE FAMILY,1.3286440015631107
2464.0,2.0,2022/05/23 00:00:00+00,290000.0,258600,TWO FAMILY,1.1214230471771076
1732.0,1.0,2022/04/28 00:00:00+00,235000.0,184800,ONE FAMILY,1.2716450216450217
1732.0,1.0,2021/11/09 00:00:00+00,151000.0,184800,ONE FAMILY,0.8170995670995671
1568.0,1.0,2021/01/25 00:00:00+00,190000.0,176600,ONE FAMILY,1.0758776896942241
3132.0,3.0,2020/11/23 00:00:00+00,270000.0,266000,THREE FAMILY,1.0150375939849625
2889.0,3.0,2021/07/15 00:00:00+00,325000.0,297900,THREE FAMILY,1.0909701242027525
3006.5,3.0,2023/07/07 00:00:00+00,370000.0,271000,THREE FAMILY,1.3653136531365313
2784.0,3.0,2021/06/10 00:00:00+00,163000.0,230600,THREE FAMILY,0.7068516912402428
2760.0,3.0,2021/04/28 00:00:00+00,285000.0,260300,THREE FAMILY,1.094890510948905
2200.00001,2.0,2021/12/14 00:00:00+00,260000.0,229300,TWO FAMILY,1.13388573920628
2743.20001,2.0,2023/11/01 00:00:00+00,294900.0,270900,TWO FAMILY,1.08859357696567
3277.20001,2.0,2021/03/23 00:00:00+00,230000.0,271800,TWO FAMILY,0.8462104488594555
1400.0,1.0,2023/08/08 00:00:00+00,230000.0,153600,ONE FAMILY,1.4973958333333333
3404.0,3.0,2024/01/30 00:00:00+00,350000.0,265400,THREE FAMILY,1.3187641296156745
1164.0,1.0,2021/02/04 00:00:00+00,135000.0,91300,ONE FAMILY,1.4786418400876231
3295.0,3.0,2021/01/29 00:00:00+00,230000.0,234500,THREE FAMILY,0.9808102345415778
1112.0,1.0,2022/03/25 00:00:00+00,115000.0,98700,ONE FAMILY,1.165146909827761
1134.0,1.0,2023/03/29 00:00:00+00,158500.0,106400,ONE FAMILY,1.4896616541353382
1134.0,1.0,2022/08/01 00:00:00+00,102325.0,106400,ONE FAMILY,0.9617011278195489
1134.0,1.0,2022/08/01 00:00:00+00,102325.0,104600,ONE FAMILY,0.9782504780114722
1216.0,1.0,2022/01/13 00:00:00+00,135000.0,90600,ONE FAMILY,1.490066225165563
1216.0,1.0,2022/08/15 00:00:00+00,137000.0,103000,ONE FAMILY,1.3300970873786409
1156.0,1.0,2023/06/01 00:00:00+00,82500.0,75200,ONE FAMILY,1.0970744680851063
1199.0,1.0,2023/08/29 00:00:00+00,135900.0,108100,ONE FAMILY,1.2571692876965772
1388.00001,1.0,2022/09/20 00:00:00+00,155000.0,106100,ONE FAMILY,1.4608859566446748
1372.00001,1.0,2022/11/30 00:00:00+00,116500.0,99700,ONE FAMILY,1.168505516549649
2253.0,2.0,2024/08/01 00:00:00+00,300000.0,211900,TWO FAMILY,1.4157621519584709
3507.0,3.0,2021/01/11 00:00:00+00,280000.0,307400,THREE FAMILY,0.9108653220559532
3555.75,3.0,2021/10/29 00:00:00+00,283000.0,292400,THREE FAMILY,0.9678522571819426
3696.0,3.0,2021/08/18 00:00:00+00,335900.0,297200,THREE FAMILY,1.1302153432032302
3076.5,3.0,2023/07/12 00:00:00+00,375000.0,265800,THREE FAMILY,1.4108352144469527
3486.0,3.0,2023/11/15 00:00:00+00,360000.0,287800,THREE FAMILY,1.2508686587908269
3120.0,3.0,2021/04/26 00:00:00+00,208000.0,226400,THREE FAMILY,0.9187279151943463
3645.0,3.0,2022/01/31 00:00:00+00,253000.0,269400,THREE FAMILY,0.9391239792130661
3450.0,3.0,2022/05/05 00:00:00+00,335000.0,274200,THREE FAMILY,1.2217359591539023
3562.5,3.0,2022/07/28 00:00:00+00,350000.0,284300,THREE FAMILY,1.2310939148786493
2970.0,3.0,2022/02/08 00:00:00+00,312000.0,258700,THREE FAMILY,1.2060301507537687
2970.0,3.0,2023/12/26 00:00:00+00,370000.0,258700,THREE FAMILY,1.4302280633938926
1140.00001,1.0,2022/07/07 00:00:00+00,156000.0,150900,ONE FAMILY,1.0337972166998013
1126.0,1.0,2023/12/05 00:00:00+00,85132.24,69500,CONDOMINIMUM,1.2249243165467627
1126.0,1.0,2023/12/05 00:00:00+00,89250.38,69500,CONDOMINIMUM,1.284178129496403
1126.0,1.0,2023/12/05 00:00:00+00,94156.55,69500,CONDOMINIMUM,1.3547705035971223
3386.5,3.0,2024/08/16 00:00:00+00,170000.0,196500,THREE FAMILY,0.8651399491094147
3696.0,3.0,2023/12/28 00:00:00+00,370000.0,260000,THREE FAMILY,1.4230769230769231
3888.0,3.0,2021/02/26 00:00:00+00,250000.0,270300,THREE FAMILY,0.9248982611912689
3429.0,3.0,2020/10/20 00:00:00+00,145000.0,183200,THREE FAMILY,0.7914847161572053
3744.0,3.0,2021/10/06 00:00:00+00,330000.0,303600,THREE FAMILY,1.0869565217391304
3150.0,3.0,2023/01/17 00:00:00+00,318000.0,262300,THREE FAMILY,1.2123522683949677
3585.0,3.0,2020/11/24 00:00:00+00,262000.0,275000,THREE FAMILY,0.9527272727272728
4455.0,3.0,2021/12/23 00:00:00+00,295000.0,282900,THREE FAMILY,1.0427712972781902
1395.0,1.0,2024/06/04 00:00:00+00,87500.0,172000,ONE FAMILY,0.5087209302325582
1676.0,1.0,2021/11/16 00:00:00+00,175000.0,183500,ONE FAMILY,0.9536784741144414
1783.0,1.0,2022/06/06 00:00:00+00,250000.0,176900,ONE FAMILY,1.4132278123233466
4590.5,3.0,2023/11/08 00:00:00+00,332000.0,326900,THREE FAMILY,1.015601101254206
1205.0,1.0,2021/11/23 00:00:00+00,95000.0,115900,ONE FAMILY,0.819672131147541
2182.0,2.0,2021/12/27 00:00:00+00,275000.0,230700,TWO FAMILY,1.1920242739488514
3532.5,3.0,2022/06/13 00:00:00+00,275000.0,268600,THREE FAMILY,1.0238272524199554
1960.0,1.0,2021/02/16 00:00:00+00,130800.0,182800,ONE FAMILY,0.7155361050328227
